province,year,homeownership,homeownership_index
Central Sulawesi,2010,81.34,96.06708397307193
Central Sulawesi,2011,83.31,98.3937640250384
Central Sulawesi,2012,85.84,101.38183536081257
Central Sulawesi,2013,83.91,99.1023975434038
Central Sulawesi,2014,84.66,99.98818944136057
Central Sulawesi,2015,87.14,102.91720798393764
Central Sulawesi,2016,85.37,100.82673910475965
Central Sulawesi,2017,83.7,98.8543758119759
Central Sulawesi,2018,84.32,99.58663044762017
Central Sulawesi,2019,84.31,99.57481988898074
Central Sulawesi,2020,84.32,99.58663044762017
South Sulawesi,1999,88.08,100
South Sulawesi,2000,88.14,100.06811989100817
South Sulawesi,2001,84.24,95.64032697547682
South Sulawesi,2002,85.2,96.73024523160764
South Sulawesi,2003,86.21,97.87693006357856
South Sulawesi,2004,85.98,97.6158038147139
South Sulawesi,2005,84.5,95.93551316984559
South Sulawesi,2006,83.52,94.82288828337875
South Sulawesi,2007,80.49,91.38283378746593
South Sulawesi,2008,82.26,93.3923705722071
South Sulawesi,2009,81.11,92.08673932788375
South Sulawesi,2010,82.4,93.55131698455949
South Sulawesi,2011,82.73,93.92597638510446
South Sulawesi,2012,83.53,94.83424159854678
South Sulawesi,2013,83.84,95.18619436875568
South Sulawesi,2014,83.82,95.16348773841962
South Sulawesi,2015,86.85,98.60354223433242
South Sulawesi,2016,85.72,97.32061762034515
South Sulawesi,2017,82.75,93.94868301544051
South Sulawesi,2018,83.61,94.92506811989101
South Sulawesi,2019,83.69,95.01589464123525
South Sulawesi,2020,83.4,94.6866485013624
Southeast Sulawesi,1999,87.71,100
Southeast Sulawesi,2000,87.22,99.44134078212291
Southeast Sulawesi,2001,83.2,94.8580549538251
Southeast Sulawesi,2002,82.65,94.2309884847794
Southeast Sulawesi,2003,85.89,97.92498004788509
Southeast Sulawesi,2004,85.25,97.19530270208642
Southeast Sulawesi,2005,83.44,95.13168395849961
Southeast Sulawesi,2006,82.02,93.51271234750884
Southeast Sulawesi,2007,82.83,94.43621023828527
Southeast Sulawesi,2008,82.3,93.83194618629575
Southeast Sulawesi,2009,83.94,95.70174438490481
Southeast Sulawesi,2010,82.32,93.85474860335195
Southeast Sulawesi,2011,84.72,96.59103865009692
Southeast Sulawesi,2012,85.1,97.02428457416487
Southeast Sulawesi,2013,85.42,97.3891232470642
Southeast Sulawesi,2014,86.32,98.41523201459354
Southeast Sulawesi,2015,86.47,98.58625014251511
Southeast Sulawesi,2016,86.37,98.47223805723408
Southeast Sulawesi,2017,84.78,96.65944590126554
Southeast Sulawesi,2018,84.43,96.2604036027819
Southeast Sulawesi,2019,85.28,97.22950632767075
Southeast Sulawesi,2020,86.14,98.21001026108769
